star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0050-01721-2,40.82488361,3.23647306,6.175,2000.0,,
TYC 0051-00070-1,42.83671222,3.05682194,7.417,2000.0,-10.500,-4.700
TYC 0051-00376-1,43.78396083,3.48690056,6.934,2000.0,30.400,-11.400
TYC 0051-00704-1,44.26901306,4.50097361,6.363,2000.0,19.300,24.100
TYC 0052-01490-1,39.01047694,6.43250667,7.039,2000.0,114.500,-36.800
TYC 0052-01494-1,38.76724639,7.47127778,6.280,2000.0,-9.100,-120.300
TYC 0052-01681-1,38.96869944,5.59329806,4.968,2000.0,-29.000,-24.100
TYC 0052-01686-1,39.01623361,6.88356944,5.928,2000.0,,
TYC 0053-00303-1,40.28256472,6.07225778,7.145,2000.0,7.200,7.500
TYC 0053-00623-1,40.06526694,6.11195444,6.291,2000.0,50.400,-3.500
TYC 0054-00954-1,44.01732639,6.17494389,7.399,2000.0,18.500,11.000
TYC 0055-00502-1,45.35632444,1.15618167,7.389,2000.0,15.300,-1.500
TYC 0055-01263-1,46.91584667,1.40597083,7.259,2000.0,5.100,-4.700
TYC 0055-01908-1,46.15854833,1.86360250,6.152,2000.0,26.500,0.500
TYC 0056-00775-1,49.93704167,1.19896111,7.395,2000.0,30.700,11.100
TYC 0056-01151-1,47.64977500,0.21257778,7.308,2000.0,-12.300,-34.800
TYC 0056-01196-1,48.00886778,0.10766361,7.139,2000.0,-14.400,4.100
TYC 0056-01281-1,47.73095917,2.31590750,6.888,2000.0,1.000,-27.200
TYC 0057-00126-1,51.70509889,0.02617333,7.214,2000.0,30.100,2.100
TYC 0057-00915-1,50.00766500,1.48361778,6.835,2000.0,-15.700,3.800
TYC 0057-01373-1,51.80762028,2.28022333,7.408,2000.0,30.300,-21.600
TYC 0057-01438-1,50.90127972,0.91030333,6.603,2000.0,-4.600,-93.200
TYC 0058-00607-1,45.59378472,4.35287306,5.591,2000.0,17.300,7.400
TYC 0058-01618-1,45.56991167,4.08992139,2.716,2000.0,-11.700,-77.700
TYC 0059-01947-1,49.83978667,3.36998000,4.919,2000.0,269.700,93.600
TYC 0060-00524-1,50.91247583,4.88210778,6.528,2000.0,-8.200,-2.900
TYC 0060-01626-1,52.26585500,3.24868722,6.504,2000.0,-1.000,8.200
TYC 0060-01705-1,50.27821694,3.67568028,5.787,2000.0,56.400,-24.100
TYC 0061-00481-1,45.96119639,6.13318583,6.990,2000.0,231.800,50.700
TYC 0061-00831-1,45.86738250,6.22681528,6.762,2000.0,-12.100,-56.500
TYC 0061-00996-1,45.66622722,5.18819806,7.417,2000.0,9.000,-5.900
TYC 0061-01021-1,45.46783222,5.33610639,6.359,2000.0,39.300,19.100
TYC 0062-00371-1,49.28740222,6.79995972,6.987,2000.0,51.400,-30.000
TYC 0062-01579-1,48.10987306,6.66088500,5.680,2000.0,-7.400,-1.600
TYC 0063-01457-1,51.88310611,5.87053889,7.324,2000.0,7.900,-43.400
TYC 0064-00980-1,54.45986083,0.14109972,7.294,2000.0,31.900,-6.400
TYC 0064-01568-1,54.19711500,0.58813194,6.000,2000.0,-21.400,-162.300
TYC 0064-01569-1,54.21879528,0.40278389,4.353,2000.0,-233.400,-482.100
TYC 0065-00985-1,57.16215917,0.22787056,6.041,2000.0,64.800,-5.700
TYC 0066-00534-1,58.67700889,2.08993556,6.914,2000.0,9.000,9.900
TYC 0066-01108-1,57.67477500,1.56394639,6.703,2000.0,-8.500,-0.900
TYC 0066-01154-1,59.92320500,1.79482083,7.276,2000.0,7.800,-2.100
TYC 0066-01215-1,58.37588806,2.11918972,6.711,2000.0,27.600,-23.900
TYC 0067-00769-1,54.72949472,2.76354389,7.222,2000.0,22.900,-21.200
TYC 0067-01727-1,54.45786972,4.14543250,7.252,2000.0,17.500,15.800
TYC 0067-01753-1,54.96309500,3.05684333,5.658,2000.0,-36.800,8.200
TYC 0068-01180-1,56.26131833,2.62139500,6.702,2000.0,-3.100,-54.300
TYC 0069-00014-1,59.15721639,3.05788556,7.149,2000.0,46.000,-0.100
TYC 0070-00305-1,52.69570694,5.36704750,7.120,2000.0,79.200,-7.800
TYC 0070-01050-1,53.21275889,5.25465722,7.428,2000.0,26.400,-27.700
TYC 0070-01333-1,53.43670417,6.92601778,7.260,2000.0,-8.600,-5.400
TYC 0070-01334-1,53.70456139,6.41773028,6.554,2000.0,-24.300,-17.000
