star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0018-00513-1,12.76572972,6.89982444,8.041,2000.0,6.600,10.400
TYC 0018-00669-1,13.49252444,5.80914167,8.036,2000.0,30.400,5.800
TYC 0018-00698-1,13.83139000,6.85422972,7.484,2000.0,38.700,5.900
TYC 0018-00884-1,12.61978611,7.10247000,8.375,2000.0,-26.200,-169.400
TYC 0019-00776-1,16.07316111,0.61537611,8.338,2000.0,2.500,-14.000
TYC 0019-00995-1,16.18169250,2.31380833,7.334,2000.0,4.300,-41.300
TYC 0019-01406-1,16.99826806,1.99404583,6.541,2000.0,142.300,-429.600
TYC 0019-01437-1,15.95399972,1.36694000,6.097,2000.0,122.500,-40.700
TYC 0020-00197-1,19.33123139,1.84127833,7.714,2000.0,2.400,-9.700
TYC 0020-00386-1,19.42734500,1.15179583,8.135,2000.0,-3.000,7.400
TYC 0020-00595-1,19.29078889,2.01526972,7.362,2000.0,-2.200,7.600
TYC 0020-00628-1,18.89843972,0.91244833,6.721,2000.0,40.800,2.300
TYC 0020-01166-1,17.63982000,2.44570611,6.119,2000.0,-9.100,-15.200
TYC 0020-01220-1,18.12809722,2.47182778,6.592,2000.0,-175.900,-106.500
TYC 0021-00119-1,20.65381972,1.72644028,6.383,2000.0,65.500,-45.300
TYC 0021-00677-1,21.84910056,0.05774000,8.495,2000.0,6.900,-4.700
TYC 0021-01044-1,22.47074250,0.37452750,8.257,2000.0,4.800,5.200
TYC 0021-01171-1,21.33362056,1.46100139,7.469,2000.0,67.900,-60.900
TYC 0021-01287-1,20.70981778,0.71261806,8.353,2000.0,-111.100,-239.600
TYC 0022-00035-1,15.49843778,2.52591056,7.638,2000.0,107.000,23.100
TYC 0022-00040-1,15.02354500,2.63297972,7.762,2000.0,-18.100,-8.100
TYC 0022-00250-1,16.52398111,3.27472750,7.441,2000.0,36.700,-25.200
TYC 0022-00517-1,15.85824972,3.25560361,8.132,2000.0,24.900,-15.100
TYC 0022-00641-1,15.21117417,4.83397222,7.793,2000.0,35.900,-6.300
TYC 0022-00812-1,16.42457972,4.19863778,7.411,2000.0,12.300,-42.600
TYC 0022-01278-1,16.45509750,4.90865472,6.389,2000.0,25.900,-119.700
TYC 0022-01354-1,16.46424722,4.90971417,7.257,2000.0,27.500,-125.700
TYC 0023-00018-1,19.85091972,3.28973417,7.604,2000.0,139.100,-17.600
TYC 0023-00061-1,19.14978083,2.73492500,7.591,2000.0,62.000,-26.600
TYC 0023-00147-1,17.61535750,2.55493778,8.500,2000.0,30.700,7.900
TYC 0023-00173-1,19.56430111,2.55069278,7.631,2000.0,-30.000,-30.700
TYC 0023-00461-1,19.71825972,4.65379778,7.654,2000.0,-12.600,-5.100
TYC 0023-00975-1,19.33463917,4.39197694,8.438,2000.0,-19.600,-3.900
TYC 0023-00999-1,19.33472500,4.66484389,7.946,2000.0,88.800,-17.400
TYC 0023-01341-1,19.44992750,3.61451750,5.147,2000.0,-47.800,-22.700
TYC 0024-00400-1,21.22736417,3.34944222,7.365,2000.0,12.100,-14.800
TYC 0024-00917-1,20.68118139,4.73828806,6.976,2000.0,-30.500,-21.000
TYC 0024-01071-1,21.81931722,3.80551611,7.772,2000.0,-11.800,-54.400
TYC 0024-01159-1,21.72311917,3.53568306,6.650,2000.0,7.500,-17.800
TYC 0024-01193-1,21.41935083,2.97208111,7.023,2000.0,33.900,-13.500
TYC 0025-00119-1,15.12680167,7.35383444,8.167,2000.0,-5.400,22.900
TYC 0025-00142-1,15.94642139,6.76486472,7.138,2000.0,17.700,-15.300
TYC 0025-00171-1,15.41510111,7.30529861,7.822,2000.0,-19.300,-2.600
TYC 0025-00526-1,16.20979278,7.04616917,7.986,2000.0,150.700,-102.500
TYC 0025-00566-1,16.37958917,6.07088583,8.410,2000.0,17.900,-1.600
TYC 0025-01005-1,15.60161667,5.06094361,8.307,2000.0,321.700,225.500
TYC 0025-01084-1,15.91953583,5.23544917,7.769,2000.0,-26.300,-17.400
TYC 0025-01372-1,16.21925667,5.65630083,6.190,2000.0,29.900,-15.900
TYC 0025-01379-1,17.09305778,5.65020833,5.541,2000.0,,
TYC 0026-00039-1,19.73932694,7.43041833,8.123,2000.0,-11.600,1.000
TYC 0026-00182-1,19.39804528,5.88436194,7.763,2000.0,67.600,-30.800
TYC 0026-00255-1,18.88918000,6.95617139,7.830,2000.0,9.400,1.600
TYC 0026-00550-1,18.46487972,5.14188750,7.746,2000.0,59.900,-22.300
TYC 0026-00752-1,19.76494056,5.03731167,8.127,2000.0,-71.000,92.100
TYC 0026-00813-1,19.18530000,5.05565611,8.011,2000.0,5.500,-11.900
TYC 0026-01013-1,19.93615500,6.16189250,8.067,2000.0,9.500,2.000
TYC 0026-01202-1,18.67666361,6.99519167,6.145,2000.0,-14.100,-25.400
TYC 0027-00073-1,21.84044417,6.96244889,8.448,2000.0,136.700,-19.400
TYC 0027-00117-1,22.26296833,7.29422667,6.582,2000.0,-28.100,-56.100
TYC 0027-00157-1,20.73627361,7.41871556,7.424,2000.0,94.900,229.700
TYC 0027-00422-1,20.59758972,5.25146111,7.517,2000.0,7.300,-33.400
TYC 0027-00637-1,20.94524472,6.49911278,8.389,2000.0,30.400,-21.200
TYC 0027-00699-1,21.10546611,6.48430556,8.180,2000.0,145.500,-2.200
