detection_id,x_px,y_px,flux_above_background,peak_above_background,peak_snr,area_px,major_sigma_px,axis_ratio,saturated,source_class,measurement_half_window_px,fitted_ra_deg,fitted_dec_deg,catalogue_star_id,classification
233,590.3757125935877,1196.902542565268,1067.067402688146,180.33015911067335,27.129525226045367,11,0.9277032002982704,1.3722841984347132,True,compact,4,298.8340376771419,6.404307610540899,TYC 0493-03355-1,unclassified_object
234,809.0308339877938,495.2482804034183,1066.3665783271344,183.47079350537612,23.033116092601105,11,1.446934829687145,2.72547985288161,True,compact,4,28.476385398867457,40.702406932204845,TYC 2820-02261-1,unclassified_object
235,1107.6951845212136,1031.523354985698,1065.4783195325044,202.14193063565918,33.623433321272,10,0.7612224180441821,1.155579301835089,True,compact,4,268.36213146949024,56.871340246042756,TYC 3910-01710-1,unclassified_object
236,775.7146544053097,772.6465449318728,1063.4943679739192,198.85085095101869,22.19805806226748,9,0.7793817585806294,1.1966687006459027,True,compact,4,345.5746193304817,42.31267688751467,TYC 3224-03434-1,unclassified_object
237,1126.378771866764,1052.2569707710816,1060.688814085706,205.49836321600935,37.3808535745476,9,0.7896161930063381,1.2545798147150569,True,compact,4,263.0415501013239,55.16989204462111,TYC 3892-01620-1,unclassified_object
238,1338.588013160844,1145.2221086274728,1059.217169598241,111.55442016070869,9.55474741764155,14,0.9794036151577891,1.062403368405985,True,compact,4,225.3797735778438,40.27632416417979,TYC 3047-01258-1,unclassified_object
239,895.3238537253994,1179.5748598114544,1057.5757536305935,156.30632957582458,16.66364826649982,13,1.3541076893083233,2.0714662437648923,True,compact,4,282.4460778185587,32.64531649629177,TYC 2642-02932-1,unclassified_object
240,239.32936139034055,731.9890432353724,1057.4933877434144,199.41644733076365,33.04245738880274,9,0.8352262935711261,1.3305314001978823,True,compact,4,351.5156368344513,-20.61460866645518,TYC 6402-01223-1,unclassified_object
241,505.9049648163356,835.432393112421,1057.4645412593602,204.1469984105865,33.07205138397514,9,0.9317597533168283,1.648803389213447,True,compact,4,340.38121256936796,10.833983985935939,TYC 1155-02187-1,unclassified_object
242,822.4097172654131,186.34960813679152,1056.0513818038733,124.5613926667878,14.782274059871469,18,1.7271734264757042,1.4618315613956394,False,broad_blob,8,65.63283415048387,20.964499833326663,TYC 1276-01625-1,unclassified_object
243,1221.6233797903465,1145.4791420484971,1054.1484962212803,166.12151633183453,33.99266422013701,12,0.8199899749960999,1.0323890737618242,True,compact,4,242.19966330192457,44.93684937126014,TYC 3067-01842-1,unclassified_object
244,927.2345020290666,361.3937169623444,1050.591736035932,192.74599413970046,26.435066210184473,9,0.7386998818604465,1.091181759573558,True,compact,4,56.326372908763794,42.55739502116141,TYC 2871-02573-1,unclassified_object
245,921.0728017651617,633.8291581154244,1050.3707865946594,192.74270530457645,19.465743288557622,10,0.8806183857125254,1.330543733396189,True,compact,4,12.222063487384258,57.774939467445236,TYC 3663-02669-1,unclassified_object
246,1002.3362992125238,394.6879271492123,1050.1860157154933,190.08347664661574,25.70638764534941,13,1.3472167537160362,1.972448399128096,True,compact,4,61.77071973068952,50.305809081285076,TYC 3335-02097-1,unclassified_object
247,1032.064555779965,104.40899131440125,1045.6426961432594,140.02500755482146,20.310476074338947,15,1.1016710676940575,1.545575158108089,True,compact,4,91.03327322962453,23.270807582354863,TYC 1864-02011-1,unclassified_object
248,408.4059982383889,887.673160731066,1045.1478766937848,201.99892119876378,30.990828203489652,10,0.8285894357577417,1.3385642630168504,True,compact,4,335.4141919850434,-1.403439094306446,TYC 5226-01606-1,unclassified_object
249,1021.7906611992231,194.46658588127946,1038.9468322789326,169.9032207787643,21.24842932417058,12,0.9684796023359346,1.4060079255536846,True,compact,4,83.16808507692109,32.213244357953606,TYC 2407-02149-1,unclassified_object
250,358.1266754645957,762.414955126707,1038.7585394966027,189.0651746711825,30.396594189873053,9,0.8015093631593413,1.1358213882279073,True,compact,4,348.60477669321415,-6.069623645747257,TYC 5249-01400-1,unclassified_object
251,347.59032084849053,255.271643446944,1038.5306084140689,176.4719233106997,45.26489083531012,12,0.8999969659925112,1.2864128959094383,True,compact,4,41.24739549384326,-18.536286045266834,TYC 5866-01050-1,unclassified_object
